Package,Total Classes,Total Methods,Total Lines,Instruction Coverage (%),Branch Coverage (%),Average Coverage (%),Status,Priority
com/imobile3/pos/ui/customer/views,11,67,357,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/order/checkout/terminal/view,5,15,86,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/sandbox/ui,7,5,18,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/register/management/tipadjust,38,133,390,18.27,16.15,17.21,Critical,Immediate
com/imobile3/pos/data/peripherals/printer,2,35,217,75.16,65.7,70.43,Fair,High
com/imobile3/pos/data/async/loyalty,5,20,68,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/ui/common/dialog,13,111,307,1.63,0.0,0.81,Critical,Immediate
com/imobile3/pos/ui/settings/views,7,31,102,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/inventory/itemlibrary,29,80,234,61.31,47.89,54.6,Poor,High
com/imobile3/pos/ui/customer/module/listing,7,11,21,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/order/state/completed,41,91,281,31.41,25.76,28.59,Poor,High
com/imobile3/pos/ui/inventory/loader,2,4,13,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/module/fiscalization,8,55,156,20.44,35.71,28.08,Poor,High
com/imobile3/pos/ui/common/dialog/overflowmenu,5,8,15,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/ui/register/hardware,15,108,423,10.2,7.63,8.91,Critical,Immediate
com/imobile3/pos/data/flavor/reflection,2,6,21,3.09,0,1.54,Critical,Immediate
com/imobile3/pos/ui/register/management/resolvetender,6,3,13,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/ui/order/loyalty/models,1,5,5,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/data/module/receipt/model,6,53,54,61.49,64.29,62.89,Fair,High
com/imobile3/pos/data/module/register/setup,1,4,4,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/ui/inventory/model,1,8,9,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/inventory/tags,31,63,154,30.72,15.91,23.31,Poor,High
com/imobile3/pos/data/module/order,10,51,432,68.46,67.02,67.74,Fair,High
com/imobile3/pos/ui/launch/menu,5,23,217,87.59,58.27,72.93,Fair,High
com/imobile3/pos/data/preferences,8,62,175,72.54,76.56,74.55,Fair,High
com/imobile3/pos/ui/order/refund/items,26,86,351,8.58,3.0,5.79,Critical,Immediate
com/imobile3/pos/ui/order/refund/view,2,7,38,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/async/shift,7,74,430,0.68,0.0,0.34,Critical,Immediate
com/imobile3/pos/ui/order/views,9,56,393,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/module/funds/model,2,35,48,33.51,16.25,24.88,Poor,High
com/imobile3/pos/ui/inventory/items/taxes,11,8,14,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/module/fiscalization/model,2,20,31,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/data/module/order/cart/tender/custom,7,36,285,65.88,49.31,57.59,Poor,High
com/imobile3/pos/ui/timeclock/shift,35,53,175,3.44,0.0,1.72,Critical,Immediate
com/imobile3/pos/ui/funds/editaccountinfo/businessinfo,4,50,246,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/module/loyalty/model,26,168,229,48.66,0.0,24.33,Poor,High
com/imobile3/pos/ui/search,5,8,22,73.46,70.0,71.73,Fair,High
com/imobile3/pos/ui/inventory/items/models,2,11,11,78.12,0,39.06,Poor,High
com/imobile3/pos/ui/timeclock,48,221,833,54.95,46.03,50.49,Poor,High
com/imobile3/pos/data/di/qualifiers,1,0,0,0,0,0.0,Critical,Immediate
com/imobile3/pos/ui/order/online/dialog,7,7,33,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/ui/launch/usecase,6,9,60,80.14,80.77,80.45,Good,Low
com/imobile3/pos/ui/inventory/items/listing,37,46,110,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/settings/contract,12,26,44,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/ui/inventory/items/assnsummary/models,2,9,9,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/data/peripherals/terminal,11,166,844,85.22,72.46,78.84,Fair,High
com/imobile3/pos/ui/srm,1,4,34,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/register/setup/assign,12,8,15,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/order/checkout/terminal/dialog/giftcard,5,1,6,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/ui/register/training,18,69,540,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/module/fiscalization/util,1,5,39,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/order/invoice,2,7,51,37.28,0,18.64,Critical,Immediate
com/imobile3/pos/ui/order/online/edit/loaders,10,20,67,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/module/order/online,15,71,433,10.58,18.35,14.46,Critical,Immediate
com/imobile3/pos/ui/toast,5,28,61,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/receipt/usecase,4,10,27,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/development,30,106,633,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/order/split/task,3,4,17,18.18,0.0,9.09,Critical,Immediate
com/imobile3/pos/ui/funds/editaccountinfo/model,2,5,7,45.45,0,22.73,Poor,High
com/imobile3/pos/data/module/customer,14,28,60,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/inventory/items/modifiers,6,4,4,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/app/broadcasts,2,48,209,78.1,63.64,70.87,Fair,High
com/imobile3/pos/ui/order/notification,2,11,41,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/order/checkout/terminal/dialog,11,18,49,50.0,80.0,65.0,Fair,High
com/imobile3/pos/data/flavor/hardware,7,19,130,93.07,69.83,81.45,Good,Low
com/imobile3/pos/ui/settings,75,239,860,9.54,27.31,18.42,Critical,Immediate
com/imobile3/pos/data/datasync,43,177,1987,5.34,0.21,2.77,Critical,Immediate
com/imobile3/pos/ui/register/management/tipadjust/usecase,8,36,123,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/flavor/tender,6,16,24,18.71,0.0,9.36,Critical,Immediate
com/imobile3/pos/ui/loyalty/customernotfound/views,1,3,26,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/order/loyalty/contracts,2,6,9,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/data/datasync/usecase,33,75,391,75.73,62.21,68.97,Fair,High
com/imobile3/pos/data/async,19,81,368,2.15,0.0,1.07,Critical,Immediate
com/imobile3/pos/data/module/customer/model,29,201,528,62.81,42.42,52.62,Poor,High
com/imobile3/pos/ui/order/discount,15,17,88,17.29,5.0,11.14,Critical,Immediate
com/imobile3/pos/ui/custommenu,5,55,129,13.7,0.0,6.85,Critical,Immediate
com/imobile3/pos/ui,80,181,531,17.8,12.29,15.04,Critical,Immediate
